timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y,drone2_control_z,attachment_point2_x,attachment_point2_y,drone3_pose_x,drone3_pose_y,drone3_pose_z,drone3_velocity_x,drone3_velocity_y,drone3_velocity_z,cable3_tension,drone3_control_x,drone3_control_y,drone3_control_z,attachment_point3_x,attachment_point3_y
1756680927.550866,0.200014,-0.000014,-0.970436,-0.000907,0.494573,0.010753,-0.000138,-0.036577,0.000005,-0.003610,0.006831,0.000000,0.000015,-0.000681,-0.685895,0.685911,0.503575,0.003503,-0.003390,0.019733,0.000005,0.000480,0.004607,0.000000,0.000015,-0.000681,-0.686906,-0.685610,0.488809,0.002866,0.002944,-0.012216,0.000005,0.003184,-0.007977,0.000000,0.000015,-0.000681
1756680927.676463,0.200014,-0.000014,-0.969871,-0.000913,0.493266,0.003837,-0.000089,-0.002100,0.000010,-0.004491,0.010756,0.000000,0.000015,-0.000681,-0.685664,0.685688,0.504088,0.004347,-0.004265,-0.013237,0.000010,-0.002810,0.001618,0.000000,0.000015,-0.000681,-0.686819,-0.685506,0.488930,-0.000443,-0.000018,0.009762,0.000010,-0.040064,-0.046337,0.000000,0.000015,-0.000681
1756680927.749518,0.200014,-0.000014,-0.969891,-0.000947,0.493555,-0.003296,-0.000695,-0.001500,0.000005,-0.090899,-0.000358,0.000000,0.000015,-0.000681,-0.685236,0.685242,0.501407,0.007015,-0.007129,-0.047993,0.000005,0.002658,0.007139,0.000000,0.000015,-0.000681,-0.686837,-0.685476,0.488676,0.004183,0.004078,-0.016569,0.000005,0.000204,-0.004287,0.000000,0.000015,-0.000681
1756680927.828703,0.200014,-0.000014,-0.969459,-0.000952,0.492194,0.009979,0.000455,-0.029388,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681,-0.684592,0.684628,0.496747,0.008551,-0.008129,-0.065176,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681,-0.686295,-0.684991,0.486649,0.003119,0.002230,-0.032833,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681
1756680927.932411,0.200014,-0.000014,-0.968641,-0.000879,0.489045,0.010785,0.001119,-0.045453,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681,-0.683972,0.683999,0.491282,0.008006,-0.007839,-0.069861,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681,-0.686086,-0.684835,0.483607,0.003894,0.003253,-0.042066,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681
1756680928.038939,0.200014,-0.000014,-0.967714,-0.000813,0.485052,0.012131,0.000555,-0.053033,0.000001,-0.000000,-0.000000,0.000000,0.000015,-0.000681,-0.683308,0.683404,0.485701,0.008661,-0.007739,-0.068953,0.000001,-0.000000,0.000000,0.000000,0.000015,-0.000681,-0.685624,-0.684427,0.479971,0.006514,0.005816,-0.047981,0.000001,-0.000000,-0.000000,0.000000,0.000015,-0.000681
1756680928.141151,0.200014,-0.000014,-0.966728,-0.000764,0.480692,0.012569,0.000572,-0.054655,0.000002,-0.003029,0.000611,0.000000,0.000015,-0.000681,-0.682581,0.682750,0.480344,0.009205,-0.008437,-0.064887,0.000002,-0.001485,0.002816,0.000000,0.000015,-0.000681,-0.685098,-0.683950,0.476047,0.006040,0.005516,-0.049438,0.000002,-0.001539,-0.002759,0.000000,0.000015,-0.000681
1756680928.238197,0.200014,-0.000014,-0.965703,-0.000725,0.476364,0.012998,0.000415,-0.053607,0.000001,-0.000000,-0.000000,0.000000,0.000015,-0.000681,-0.681855,0.682059,0.475405,0.009100,-0.008675,-0.058927,0.000001,-0.000000,0.000000,0.000000,0.000015,-0.000681,-0.684572,-0.683454,0.472202,0.007276,0.007035,-0.046772,0.000001,-0.000000,-0.000000,0.000000,0.000015,-0.000681
1756680928.404637,0.200014,-0.000014,-0.964667,-0.000695,0.472187,0.013002,0.000323,-0.049835,0.000041,-0.006410,-0.010466,0.000000,0.000015,-0.000681,-0.681127,0.681366,0.470966,0.009157,-0.008652,-0.052513,0.000041,-0.009645,-0.000081,0.000000,0.000015,-0.000681,-0.683970,-0.682875,0.468611,0.007205,0.006688,-0.043239,0.000041,-0.008594,-0.000393,0.000000,0.000015,-0.000681
1756680928.490322,0.200014,-0.000014,-0.963885,-0.000677,0.469326,0.013107,0.000251,-0.046078,0.000020,-0.003529,-0.007103,0.000000,0.000015,-0.000681,-0.680575,0.680857,0.467984,0.009246,-0.008659,-0.047314,0.000020,-0.018563,-0.003022,0.000000,0.000015,-0.000681,-0.683525,-0.682454,0.466135,0.007646,0.007256,-0.039838,0.000020,-0.012875,0.002989,0.000000,0.000015,-0.000681
1756680928.534506,0.200014,-0.000014,-0.962813,-0.000631,0.465816,0.013620,0.000755,-0.041387,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681,-0.679828,0.680157,0.464417,0.009423,-0.008894,-0.042632,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681,-0.682886,-0.681842,0.463063,0.008687,0.007975,-0.037132,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681
1756680928.704923,0.200014,-0.000014,-0.961782,-0.000662,0.462756,0.012709,-0.000565,-0.035013,0.000041,-0.015482,0.029570,0.000000,0.000015,-0.000681,-0.679018,0.679447,0.461340,0.009540,-0.008951,-0.034943,0.000041,-0.015417,-0.003271,0.000000,0.000015,-0.000681,-0.682214,-0.681197,0.460272,0.007186,0.007709,-0.032900,0.000041,0.003289,-0.007488,0.000000,0.000015,-0.000681
1756680928.821435,0.200014,-0.000014,-0.961012,-0.000691,0.460787,0.012962,-0.000230,-0.031342,0.000081,-0.007320,0.016955,0.000000,0.000015,-0.000681,-0.678543,0.678896,0.459423,0.008293,-0.009034,-0.029481,0.000081,0.003247,0.008786,0.000000,0.000015,-0.000681,-0.681778,-0.680728,0.458451,0.007576,0.007981,-0.028501,0.000081,0.000669,-0.005876,0.000000,0.000015,-0.000681
1756680928.900212,0.200014,-0.000014,-0.961012,-0.000691,0.460787,0.012962,-0.000230,-0.031342,0.000010,-0.006471,0.018051,0.000000,0.000015,-0.000681,-0.678543,0.678896,0.459423,0.008293,-0.009034,-0.029481,0.000010,0.002714,0.006462,0.000000,0.000015,-0.000681,-0.681778,-0.680728,0.458451,0.007576,0.007981,-0.028501,0.000010,-0.000093,-0.003804,0.000000,0.000015,-0.000681
1756680928.947638,0.200014,-0.000014,-0.959374,-0.000728,0.457470,0.012590,0.001393,-0.023676,0.000002,-0.003214,0.001870,0.000000,0.000015,-0.000681,-0.677477,0.677816,0.456220,0.009713,-0.008924,-0.024226,0.000002,-0.000816,0.003540,0.000000,0.000015,-0.000681,-0.680784,-0.679704,0.455322,0.008693,0.008566,-0.023720,0.000002,-0.001169,-0.003087,0.000000,0.000015,-0.000681
1756680929.032975,0.200014,-0.000014,-0.958410,-0.000577,0.455685,0.011810,0.002064,-0.021629,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681,-0.676783,0.677058,0.454427,0.008598,-0.009268,-0.020932,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681,-0.680086,-0.679043,0.453546,0.008540,0.007950,-0.021009,0.000000,0.000000,0.000000,0.000000,0.000015,-0.000681
